구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,"37,587","37,838","37,547","37,938","40,055","39,720","38,760","38,430","38,885","39,335","39,241","38,980","38,711"
1997,"38,984","39,027","39,259","39,780","40,181","40,251","40,586","41,132","40,735","39,801","38,538","38,697","39,748"
1998,"39,736","40,115","40,078","39,899","39,779","40,208","41,505","43,283","43,035","42,737","42,911","43,066","41,388"
1999,"43,731","43,636","43,636","43,636","43,636","43,841","44,385","44,727","44,964","45,020","44,759","44,636","44,225"
2000,"44,600","44,600","44,600","44,600","44,825","45,000","45,000","45,000","44,972","45,079","44,765","44,744","44,815"
2001,"45,011","45,050","45,096","45,193","45,223","45,280","45,280","45,280","45,280","45,046","44,558","44,500","45,066"
2002,"44,954","44,804","45,011","44,933","44,939","44,957","45,008","45,067","45,339","45,873","45,808","46,033","45,234"
2003,"46,010","45,939","45,908","45,928","45,921","45,956","46,000","46,000","46,027","47,244","48,100","47,967","46,431"
2004,"47,589","47,523","47,527","47,550","47,733","47,833","47,905","48,030","48,187","48,725","47,749","46,938","47,766"
2005,"46,441","46,448","46,347","46,383","46,278","46,083","46,153","46,189","46,207","46,267","44,873","43,390","45,903"
2006,"43,047","42,719","42,617","41,979","41,918","42,169","42,585","43,398","43,915","43,870","43,554","43,311","42,929"
2007,"43,343","43,392","43,523","43,415","43,495","43,678","43,763","43,697","43,711","43,556","43,051","43,258","43,487"
2008,"43,476","43,640","44,018","44,306","44,650","45,153","45,431","45,466","45,781","46,116","46,340","46,353","45,075"
2009,"46,040","45,970","45,957","45,715","45,625","45,108","44,412","44,083","44,019","43,695","42,784","42,198","44,617"
2010,"42,024","41,809","41,679","42,044","41,722","41,149","41,040","41,089","40,618","40,894","40,343","40,396","41,221"
2011,"41,286","41,957","42,764","44,331","44,702","45,077","44,679","44,060","44,021","45,034","44,280","43,802","43,852"
2012,"43,876","44,031","43,900","43,995","44,051","43,760","43,439","43,459","43,581","44,847","46,325","46,211","44,284"
2013,"46,212","46,495","46,579","46,812","46,621","46,802","46,681","46,827","46,800","46,864","46,911","46,718","46,692"
2014,"46,417","46,463","46,136","45,856","45,779","45,507","44,904","44,723","45,242","46,394","46,022","45,668","45,763"
2015,"45,533","45,264","45,044","44,217","44,778","44,864","44,498","44,361","44,822","44,661","43,672","43,627","44,600"
2016,"42,630","42,245","41,704","40,536","39,955","39,792","39,846","39,662","39,409","37,896","37,004","36,177","39,698"
2017,"36,104","36,115","36,054","36,076","35,368","34,895","34,565","34,844","38,949","41,744","42,350","42,711","37,388"
2018,"43,340","44,296","45,713","47,358","47,334","47,598","48,064","48,853","49,465","53,283","53,550","53,512","48,538"
2019,"53,303","53,234","53,159","53,053","52,908","52,681","52,148","51,965","51,591","51,479","51,701","52,350","52,458"
2020,"51,721","51,724","51,551","51,498","51,616","51,708","51,757","52,366","52,749","57,841","58,906","60,453","53,638"
2021,"59,979","60,374","59,990","59,991","61,104","61,247","61,725","61,327","57,327","55,322","55,381","55,135","59,080"
2022,"53,450","52,597","52,459","52,037","51,221","50,990","50,643","49,228","48,397","49,806","53,284","51,900","51,336"
2023,"50,263",-,-,-,-,-,-,-,-,-,-,-,"50,263"
